Gender,financial_issues,family_issues,study_hours,health_issues,friends_issues,friends_time,overload,unpleasant,academic,career,criticism,conflicts,stress_level
Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,2,Sleeping Problem;Concentration Problem,None,5,No,Yes,Yes,Yes,Yes,No,Stressed
Male,Deadline of Fee payment,Parental Expectations,2,Anxiety or Tension,Mistrust,1,No,No,No,No,No,Yes,Stressed
Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,4,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Sleeping Problem;Concentration Problem,None,10,Yes,Yes,Yes,No,Yes,Yes,Stressed
Male,Repay Loan Issues,Parental Expectations,5,Concentration Problem,Mistrust,10,No,Yes,Yes,Yes,Yes,Yes,Stressed
Male,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Poor Communication and misunderstandings;Negligence of Children,4,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Jealousy,1,Yes,Yes,Yes,Yes,No,Yes,Stressed
Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,8,Anxiety or Tension;Sleeping Problem,Comparison between them,6,Yes,Yes,No,No,Yes,Yes,Stressed
Male,Payment for Hostel,Poor Communication and misunderstandings;Negligence of Children,4,Sinus or Migraine or Headaches;Low Energy;Anxiety or Tension;Lonliness;Concentration Problem,Conflicts;Comparison between them;Mistrust,2,No,Yes,Yes,Yes,No,No,Stressed
Male,None,None,4,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Concentration Problem,Comparison between them;lack of deep communication,8,Yes,No,Yes,Yes,No,Yes,Stressed
Male,Deadline of Fee payment,Parental Expectations,2,Anxiety or Tension,Comparison between them,5,Yes,No,No,Yes,No,No,Stressed
Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Negligence of Children,1,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Low Energy;Lonliness;Sleeping Problem;Concentration Problem,Mistrust,3,Yes,Yes,Yes,No,Yes,Yes,Stressed
Male,Deadline of Fee payment,Parental Expectations,6,Concentration Problem,Comparison between them,4,No,No,Yes,Yes,No,Yes,Stressed
Male,Deadline of Fee payment,Parental Expectations,6,Concentration Problem,Comparison between them,6,No,No,Yes,Yes,No,Yes,Stressed
Male,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Being bullied by siblings,3,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Conflicts;Comparison between them;Mistrust,2,Yes,Yes,Yes,Yes,Yes,Yes,Stressed
Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,4,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Conflicts;Comparison between them,1,Yes,Yes,Yes,No,No,No,Stressed
Male,Repay Loan Issues;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents,0,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness,Comparison between them;Jealousy,2,Yes,No,Yes,No,No,No,Stressed
Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Negligence of Children,2,Sinus or Migraine or Headaches;Anxiety or Tension;Sleeping Problem,Comparison between them;Mistrust,3,No,No,Yes,No,Yes,Yes,Stressed
Male,Repay Loan Issues,Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Anxiety or Tension,Comparison between them;Mistrust,3,No,Yes,Yes,No,Yes,No,Stressed
Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,4,Sinus or Migraine or Headaches;Covid;Low Energy;Sleeping Problem,Jealousy;Mistrust,3,No,Yes,Yes,Yes,Yes,No,Stressed
Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,3,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension,Conflicts;Comparison between them;Jealousy,3,Yes,Yes,No,Yes,Yes,No,Stressed
Female,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Low Energy,Comparison between them;Jealousy;Mistrust,3,Yes,No,No,Yes,Yes,Yes,Stressed
